state_name,state_abbreviation,pct_current_anxiety,pct_current_depression,pct_current_adhd,pct_any_current_condition,pct_two_or_more_conditions,pct_all_three_conditions,dominant_condition_profile,dominant_profile_pct,dominant_cooccurring_profile,dominant_cooccurring_pct,students_per_psychologist,students_per_guidance_counselor,avg_hpsa_score,max_hpsa_score,pct_designated_population_underserved,provider_shortage_per_100k,q5_priority_state
OHIO,OH,15.64,6.06,15.43,24.18,9.88,2.89,ADHD,32.66,Anxiety + ADHD,41.32,939.6,391.9,15.8,25,20.35,1.66,0
OKLAHOMA,OK,12.98,5.86,15.42,22.99,8.41,2.92,ADHD,42.5,Anxiety + ADHD,35.34,3849.8,355.9,17.79,24,15.48,1.4,0
OREGON,OR,20.78,7.57,17.95,29.7,13.03,4.04,ADHD,27.64,Anxiety + ADHD,45.11,1429.2,324.1,16.7,24,12.37,1.04,1
PENNSYLVANIA,PA,15.84,5.63,13.37,23.01,8.93,2.67,Anxiety,31.6,Anxiety + ADHD,42.15,985.5,317.4,12.45,23,3.89,0.6,0
RHODE ISLAND,RI,13.35,3.52,14.71,22.12,7.4,1.68,ADHD,38.25,Anxiety + ADHD,59.58,647.5,390.7,17.21,23,17.96,1.56,0
SOUTH CAROLINA,SC,12.43,4.55,16.4,23.43,7.95,1.82,ADHD,43.03,Anxiety + ADHD,48.15,1212.8,308.7,16.39,24,26.88,2.14,0
SOUTH DAKOTA,SD,11.54,7.39,15.84,23.47,8.3,2.03,ADHD,38.93,Anxiety + ADHD,27.89,1373.1,335.5,18.49,23,38.02,2.59,0
TENNESSEE,TN,13.11,4.4,14.38,21.43,8.46,1.5,ADHD,36.4,Anxiety + ADHD,53.93,,,17.24,23,16.96,1.93,0
TEXAS,TX,11.58,5.1,14.45,22.02,7.33,1.67,ADHD,45.7,Anxiety + Depression,40.81,2120.5,397.1,15.63,23,24.56,1.91,0
UTAH,UT,19.01,6.48,14.77,27.22,10.26,2.42,Anxiety,32.89,Anxiety + ADHD,45.16,1950.0,468.0,14.82,22,33.7,2.7,1
VERMONT,VT,20.44,8.3,17.36,30.59,11.88,2.85,Anxiety,30.22,Anxiety + ADHD,39.64,2992.6,178.6,,,,,0
VIRGINIA,VA,12.25,5.24,18.66,26.42,8.23,1.34,ADHD,47.16,Anxiety + ADHD,53.83,1192.3,280.0,16.37,22,28.99,2.54,0
WASHINGTON,WA,18.67,7.51,13.44,24.55,11.06,4.48,Anxiety,32.49,Anxiety + Depression + ADHD,40.5,946.2,364.0,15.81,23,21.37,1.37,1
WEST VIRGINIA,WV,17.15,7.25,17.45,27.6,10.49,2.88,ADHD,35.08,Anxiety + ADHD,36.47,1695.8,308.9,16.8,24,18.05,2.62,1
WISCONSIN,WI,16.91,8.39,13.29,23.56,10.61,4.15,Anxiety,27.87,Anxiety + Depression + ADHD,39.09,746.1,362.3,15.8,24,7.9,0.86,0
WYOMING,WY,16.5,8.62,12.8,23.79,11.62,2.45,Anxiety,24.54,Anxiety + Depression,37.77,1121.4,297.7,15.73,21,36.4,2.68,1
