state_name,state_abbreviation,county_name,county_fips,LEAID,LEA_NAME,total_students,students_per_psychologist,students_per_guidance_counselor,combined_school_support_rank_within_state,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,county_shortage_rank_within_state,local_overlap_score
OREGON,OR,Multnomah County,41051,4100023,Hillsboro SD 1J,18781.0,1490.6,267.0,41.0,16,16.5,21,18,29.5
OREGON,OR,Multnomah County,41051,4107230,Lake Oswego SD 7J,6882.0,860.3,332.5,46.0,16,16.5,21,18,32.0
OREGON,OR,Multnomah County,41051,4110520,Reynolds SD 7,9762.0,1122.1,269.5,48.0,16,16.5,21,18,33.0
OREGON,OR,Multnomah County,41051,4101920,Beaverton SD 48J,37891.0,852.2,287.5,51.5,16,16.5,21,18,34.75
OREGON,OR,Multnomah County,41051,4110040,Portland SD 1J,43357.0,655.6,277.9,57.5,16,16.5,21,18,37.75
OREGON,OR,Wheeler County,41069,4105250,Fossil SD 21J,2494.0,2494.0,2494.0,6.5,2,16.5,17,19,12.75
OREGON,OR,Marion County,41047,4102840,Central SD 13J,3054.0,3054.0,610.8,8.0,10,16.3,21,20,14.0
OREGON,OR,Marion County,41047,4111450,Silver Falls SD 4J,3652.0,3652.0,332.6,20.0,10,16.3,21,20,20.0
OREGON,OR,Marion County,41047,4110820,Salem-Keizer SD 24J,37982.0,2623.1,338.5,23.0,10,16.3,21,20,21.5
OREGON,OR,Marion County,41047,4100015,Gervais SD 1,1249.0,1249.0,277.6,43.0,10,16.3,21,20,31.5
OREGON,OR,Marion County,41047,4113530,Woodburn SD 103,5272.0,878.7,293.5,48.5,10,16.3,21,20,34.25
OREGON,OR,Marion County,41047,4108880,North Marion SD 15,1604.0,583.3,320.8,53.0,10,16.3,21,20,36.5
OREGON,OR,Coos County,41011,4108820,North Bend SD 13,2764.0,2764.0,479.0,12.0,4,16.0,22,22,17.0
OREGON,OR,Coos County,41011,4103660,Coos Bay SD 9,2982.0,994.0,596.4,28.5,4,16.0,22,22,25.25
OREGON,OR,Clackamas County,41005,4111450,Silver Falls SD 4J,3652.0,3652.0,332.6,20.0,4,15.75,18,25,22.5
OREGON,OR,Clackamas County,41005,4109330,Oregon City SD 62,7247.0,1207.8,455.8,27.0,4,15.75,18,25,26.0
OREGON,OR,Clackamas County,41005,4110890,Oregon Trail SD 46,4222.0,1196.0,383.8,29.5,4,15.75,18,25,27.25
OREGON,OR,Clackamas County,41005,4105610,Gladstone SD 115,1618.0,1618.0,323.6,30.5,4,15.75,18,25,27.75
OREGON,OR,Clackamas County,41005,4112240,Tigard-Tualatin SD 23J,11433.0,1874.3,302.8,31.0,4,15.75,18,25,28.0
OREGON,OR,Clackamas County,41005,4104700,Estacada SD 108,3316.0,1105.3,379.4,31.5,4,15.75,18,25,28.25
OREGON,OR,Clackamas County,41005,4111290,Sherwood SD 88J,4803.0,1200.8,369.5,32.0,4,15.75,18,25,28.5
OREGON,OR,Clackamas County,41005,4106000,Gresham-Barlow SD 10J,11452.0,1764.6,288.8,33.5,4,15.75,18,25,29.25
OREGON,OR,Clackamas County,41005,4102800,Centennial SD 28J,5451.0,939.8,368.3,39.5,4,15.75,18,25,32.25
OREGON,OR,Clackamas County,41005,4113170,West Linn-Wilsonville SD 3J,8880.0,1138.5,322.9,39.5,4,15.75,18,25,32.25
OREGON,OR,Clackamas County,41005,4102640,Canby SD 86,4160.0,832.0,375.8,39.5,4,15.75,18,25,32.25
OREGON,OR,Clackamas County,41005,4107230,Lake Oswego SD 7J,6882.0,860.3,332.5,46.0,4,15.75,18,25,35.5
OREGON,OR,Clackamas County,41005,4108830,North Clackamas SD 12,16982.0,776.1,345.2,46.5,4,15.75,18,25,35.75
OREGON,OR,Clackamas County,41005,4108310,Molalla River SD 35,2598.0,1039.2,273.5,49.0,4,15.75,18,25,37.0
OREGON,OR,Clackamas County,41005,4108720,Newberg SD 29J,4033.0,711.3,270.7,57.5,4,15.75,18,25,41.25
OREGON,OR,Clackamas County,41005,4110040,Portland SD 1J,43357.0,655.6,277.9,57.5,4,15.75,18,25,41.25
OREGON,OR,Jefferson County,41031,4110350,Redmond SD 2J,7141.0,1000.1,251.5,51.5,3,15.67,17,26,38.75
OREGON,OR,Deschutes County,41017,4103720,Crook County SD,3352.0,3352.0,372.4,14.5,2,15.5,16,27,20.75
OREGON,OR,Deschutes County,41017,4111490,Sisters SD 6,1163.0,1453.8,290.8,36.5,2,15.5,16,27,31.75
OREGON,OR,Deschutes County,41017,4101980,Bend-LaPine Administrative SD 1,16878.0,1308.4,208.4,47.5,2,15.5,16,27,37.25
OREGON,OR,Deschutes County,41017,4110350,Redmond SD 2J,7141.0,1000.1,251.5,51.5,2,15.5,16,27,39.25
OREGON,OR,Malheur County,41045,4109000,Nyssa SD 26,2117.0,21170.0,529.3,8.0,4,15.25,19,28,18.0
OREGON,OR,Yamhill County,41071,4108010,McMinnville SD 40,6301.0,2250.4,354.0,24.0,2,15.0,18,29,26.5
OREGON,OR,Yamhill County,41071,4105430,Gaston SD 511J,477.0,954.0,238.5,54.5,2,15.0,18,29,41.75
OREGON,OR,Yamhill County,41071,4108720,Newberg SD 29J,4033.0,711.3,270.7,57.5,2,15.0,18,29,43.25
OREGON,OR,Benton County,41003,4102840,Central SD 13J,3054.0,3054.0,610.8,8.0,2,15.0,17,30,19.0
OREGON,OR,Linn County,41043,4111040,Scio SD 95,1998.0,3567.9,362.0,17.0,2,14.5,16,32,24.5
OREGON,OR,Linn County,41043,4104740,Eugene SD 4J,15943.0,755.2,299.3,51.5,2,14.5,16,32,41.75
OREGON,OR,Columbia County,41009,4103260,Clatskanie SD 6J,696.0,696.0,696.0,35.5,3,13.0,16,36,35.75
OREGON,OR,Columbia County,41009,4112930,Vernonia SD 47J,566.0,566.0,566.0,39.5,3,13.0,16,36,37.75
OREGON,OR,Columbia County,41009,4111720,St Helens SD 502,2863.0,1250.2,286.3,41.0,3,13.0,16,36,38.5
