district_id,district_name,state_name,state_abbreviation,county_name,county_fips,district_city,district_zip,district_type,operational_schools,district_location_label,total_students,students_per_psychologist,students_per_guidance_counselor,school_support_pressure_rank,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,provider_shortage_pressure_rank,local_overlap_score,jackson_county_focus,jackson_county_flag,display_label
4111580,South Lane SD 45J3,OREGON,OR,Douglas County,41019,Cottage Grove,97424,Regular public school district that is not a component of a supervisory union,9,"Cottage Grove, Oregon 97424",2715.0,1357.5,472.2,23.5,10,17.2,22,12,17.75,Other Oregon County,0,South Lane SD 45J3 | Douglas County
4109000,Nyssa SD 26,OREGON,OR,Malheur County,41045,Nyssa,97913,Regular public school district that is not a component of a supervisory union,4,"Nyssa, Oregon 97913",2117.0,21170.0,529.3,8.0,4,15.25,19,28,18.0,Other Oregon County,0,Nyssa SD 26 | Malheur County
4107590,Lowell SD 71,OREGON,OR,Lane County,41039,Lowell,97452,Regular public school district that is not a component of a supervisory union,4,"Lowell, Oregon 97452",1046.0,1046.0,1046.0,22.5,7,16.86,21,14,18.25,Other Oregon County,0,Lowell SD 71 | Lane County
4111580,South Lane SD 45J3,OREGON,OR,Lane County,41039,Cottage Grove,97424,Regular public school district that is not a component of a supervisory union,9,"Cottage Grove, Oregon 97424",2715.0,1357.5,472.2,23.5,7,16.86,21,14,18.75,Other Oregon County,0,South Lane SD 45J3 | Lane County
4102840,Central SD 13J,OREGON,OR,Benton County,41003,Independence,97351,Regular public school district that is not a component of a supervisory union,5,"Independence, Oregon 97351",3054.0,3054.0,610.8,8.0,2,15.0,17,30,19.0,Other Oregon County,0,Central SD 13J | Benton County
4107500,Lincoln County SD,OREGON,OR,Lincoln County,41041,Newport,97365,Regular public school district that is not a component of a supervisory union,17,"Newport, Oregon 97365",4809.0,1202.3,369.9,31.0,3,18.67,23,8,19.5,Other Oregon County,0,Lincoln County SD | Lincoln County
4111450,Silver Falls SD 4J,OREGON,OR,Marion County,41047,Silverton,97381,Regular public school district that is not a component of a supervisory union,13,"Silverton, Oregon 97381",3652.0,3652.0,332.6,20.0,10,16.3,21,20,20.0,Other Oregon County,0,Silver Falls SD 4J | Marion County
4112930,Vernonia SD 47J,OREGON,OR,Washington County,41067,Vernonia,97064,Regular public school district that is not a component of a supervisory union,4,"Vernonia, Oregon 97064",566.0,566.0,566.0,39.5,2,22.0,23,1,20.25,Other Oregon County,0,Vernonia SD 47J | Washington County
4113170,West Linn-Wilsonville SD 3J,OREGON,OR,Washington County,41067,Tualatin,97062,Regular public school district that is not a component of a supervisory union,17,"Tualatin, Oregon 97062",8880.0,1138.5,322.9,39.5,2,22.0,23,1,20.25,Other Oregon County,0,West Linn-Wilsonville SD 3J | Washington County
4103720,Crook County SD,OREGON,OR,Deschutes County,41017,Prineville,97754,Regular public school district that is not a component of a supervisory union,10,"Prineville, Oregon 97754",3352.0,3352.0,372.4,14.5,2,15.5,16,27,20.75,Other Oregon County,0,Crook County SD | Deschutes County
4103940,David Douglas SD 40,OREGON,OR,Multnomah County,41051,Portland,97220,Regular public school district that is not a component of a supervisory union,14,"Portland, Oregon 97220",8774.0,2193.5,358.1,24.0,16,16.5,21,18,21.0,Other Oregon County,0,David Douglas SD 40 | Multnomah County
4100023,Hillsboro SD 1J,OREGON,OR,Washington County,41067,Hillsboro,97124,Regular public school district that is not a component of a supervisory union,37,"Hillsboro, Oregon 97124",18781.0,1490.6,267.0,41.0,2,22.0,23,1,21.0,Other Oregon County,0,Hillsboro SD 1J | Washington County
