Name,Label
Diff2more_24,Indicator 1.10: Number of functional difficulties reported from a list of 12 difficulties
DiffBreath_24,Children who have experienced frequent or chronic difficulty with breathing or other respiratory problems (such as wheezing or shortness of breath) in the past 12 months
DiffSwall_24,Children who have had frequent or chronic difficulty with eating or swallowing in the past 12 months
DiffDigest_24,"Children who have had frequent or chronic difficulty with digesting food, including stomach/intestinal problems, constipation, or diarrhea in the past 12 months"
DiffPain_24,"Children who have had frequent or chronic difficulty with repeated or chronic physical pain, including headaches or other back or body pain in the past 12 months"
DiffHands_24,"Children who have had frequent or chronic difficulty using their hands in the past 12 months, age 0-5 years"
DiffCoor_24,"Children who have had frequent or chronic difficulty with coordination or moving around in the past 12 month, age 0-5 years"
DiffMem_24,"Children who have serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition, age 6-17 years"
DiffWalk_24,"Children who have serious difficulty walking or climbing stairs, age 6-17 years"
DiffDress_24,"Children who have difficulty dressing or bathing, age 6-17 years"
DiffErrand_24,"Children who have difficulty doing errands alone, such as visiting a doctor’s office or shopping, because of a physical, mental, or emotional condition, age 12-17 years"
CSHCN_24,Indicator 1.11: Children with special health care needs
rxmeds_24,Children qualifying on the CSHCN Screener prescription medication criteria
serve_24,Children qualifying on the CSHCN Screener for elevated use of services criteria
func_24,Children qualifying on the CSHCN Screener functional limitations criteria
therapy_24,Children qualifying on the CSHCN Screener specialized therapy criteria
mhealth_24,"Children qualifying on the CSHCN Screener ongoing emotional, developmental or behavioral criteria for which treatment or counseling is needed"
qualnum4_24,Number of CSHCN Screener criteria CSHCN met
CSHCNtype_24,Children with specific types of special health care needs based on CSHCN screening criteria
CSHCNComplex_24,Complexity of health care needs
mhneeds_24,"Children with special health care needs who have ongoing emotional, behavioral or developmental issues for which treatment or counseling is needed"
CSHCNExpanded_24,Children who meet the expanded criteria for special health care needs
CSHCNComplexExp_24,Complexity of special health care needs (expanded CSHCN criteria)
DailyAct_24,Indicator 1.12: Children whose health conditions consistently and often greatly affect their daily activities during the past 12 months among children who have any condition
bully_24,"Indicator 2.1: Children who bullied others, picked on them or excluded them during the past 12 months, age 6-17 years"
bullied_24,"Indicator 2.2: Children who are bullied, picked on, or excluded by other children during the past 12 months, age 6-17 years"
flrsh0to5ct,"Count of always/usually responses to flourishing items, age 6 months-5 years"
flrish0to5_24,"Indicator 2.3: Flourishing for young children, age 6 months-5 years"
tender_24,"Children are affectionate and tender with parent, age 6 months-5 years"
resil0to5_24,"Children who bounce back quickly when things don't go their way, age 6 months-5 years"
curious0to5_24,"Children who show interest and curiosity in learning new things, age 6 months-5 years"
smile_24,"Children who smile and laugh, age 6 months-5 years"
flrsh6to17ct,"Count of always/usually responses to flourishing Items, age 6-17 years"
flrish6to17_24,"Indicator 2.4: Flourishing for children and adolescents, age 6-17 years"
curious6to17_24,"Children who show interest and curiosity in learning new things, age 6-17 years"
finishes_24,"Children who work to finish the tasks they start, age 6-17 years"
resil6to17_24,"Children who stay calm and in control when faced with a challenge, age 6-17 years"
flourish6mto17_24,"Child flourishing, age 6 months-17 years"
argue_24,"Indicator 2.5: Children who argue too much, age 6-17 years"
MakeFriend_24,"Indicator 2.6: Difficulties making or keeping friends, age 6-17 years"
ADHDind_24,"Indicator 2.7: Children who currently have Attention Deficit Disorder (ADD) or Attention-Deficit Hyperactivity Disorder (ADHD), age 3-17 years"
ADHDSevInd_24,"Indicator 2.7a: Parent-rated severity of current ADD/ADHD, age 3-17 years"
ADHDMed_24,"Indicator 2.7b: Children currently taking medication for ADD/ADHD, age 3-17 years"
ADHDBehTreat_24,"Indicator 2.7c: Received behavioral treatment for ADD/ADHD, age 3-17 years"
AutismInd_24,"Indicator 2.8: Children who currently have autism or autism spectrum disorder including Asperger's Disorder, pervasive developmental disorder, age 3-17 years"
ASDSevInd_24,"Indicator 2.8a: Parent-rated severity of current autism or autism spectrum disorder, age 3-17 years"
ASDMed_24,"Indicator 2.8b: Children currently taking medication for autism, ASD, Asperger's Disorder or PDD, age 3-17 years"
ASDBehTreat_24,"Indicator 2.8c: Received behavioral treatment for autism, ASD, Asperger's Disorder or PDD, age 3-17 years"
ASDAge_24,"Indicator 2.8d: Age of diagnosis for autism or ASD, age 3-17 years"
ASDDrType_24,"Indicator 2.8e: Type of doctor or other health care provider who was the first to tell that this child had autism, ASD, Asperger’s Disorder or PDD, age 3-17 years"
MedEmotion_24,"Indicator 2.9: Children who are taking medication for ADD/ADHD, ASD, difficulties with emotions, concentration, or behavior, age 3-17 years"
MEDB10ScrQ5_24,"Indicator 2.10: Children with mental, emotional, developmental or behavioral problems, age 3-17 years"
CurrIns_24,Indicator 3.1: Current health insurance status at time of survey
InsGap_24,Indicator 3.2: Children who had consistent health insurance coverage during the past 12 months
instype_24,Indicator 3.3: Type of health insurance at time of the survey
instype3_24,Type of health insurance at time of survey - 3 categories
InsAdeq_24,Indicator 3.4: Adequacy of current insurance coverage
benefits_24,Current insurance benefits meets child's health needs
allows_24,Current insurance coverage allows child to see needed providers
expense_24,Current insurance out-of-pocket costs are reasonable
insurance_24,Indicator 3.4a: Adequate and continuous insurance
OutOfPckt_24,"Indicator 3.6: Out-of-pocket costs for child's health care including medical, dental and vision care during the past 12 months"
MedCare_24,Indicator 4.1: Children who received any type of medical care during the past 12 months
VideoPhone_24,Children who received any type of medical care by phone or video during the past 12 months
PrevMed_24,Indicator 4.1a: Children who had one or more preventive medical care visits during past 12 months
VisitTime_24,Indicator 4.1b: Time with doctor during last preventive check-up
PrivateTalk_24,"Indicator 4.1c: Children whose doctors spoke with them privately without an adult in the room during last medical care visit, age 12-17 years"
DentCare_24,"Indicator 4.2: Children who received any type of dental or oral health care during the past 12 months, age 1-17 years"
DentCare2_24,"Children who received any type of dental or oral health care during the past 12 months, age 1-17 years"
Dentist_24,"Indicator 4.2: Children who saw a dentist during the past 12 months, age 1-17 years"
OralProf_24,"Indicator 4.2: Children who saw oral health professionals other than a dentist during the past 12 months, age 1-17 years"
PrevDent_24,"Indicator 4.2a: Children who had one or more preventive dental care visits during the past 12 months, age 1-17 years"
DentCheck_24,"Children who had dental check up visits during the past 12 months, age 1-17 years"
DentCleaning_24,"Children who had dental cleaning during the past 12 months, age 1-17 years"
DentInstruct_24,"Children who had dental instruction during the past 12 months, age 1-17 years"
DentXray_24,"Children who had dental X-ray during the past 12 months, age 1-17 years"
fluoride_24,"Children who had fluoride treatment during the past 12 months, age 1-17 years"
sealant_24,"Children who had sealant during the past 12 months, age 1-17 years"
MedDentCare_24,Indicator 4.3: Children received both preventive medical and dental care visits in past 12 months
MentHCare_24,"Indicator 4.4: Children who received needed treatment or counseling from a mental health professional during the past 12 months, age 3-17 years"
MentHDiff_24,"Indicator 4.4a: Difficulties obtaining mental health care among those who received or needed care during the past 12 months, age 3-17 years"
SpecCare_24,Indicator 4.5: Received care from a specialist doctor other than a mental health professional during the past 12 months
SpCareDiff_24,Indicator 4.5a: Difficulties obtaining specialist care among those who received or needed a specialist care during the past 12 months
EyeDoctor_24,Indicator 4.6a: Children who saw and eye doctor ever (0-5 years)/during the past 2 years (6-17 years)
EyeExam_24,Received eye examination from an eye doctor ever (0-5 years)/during the past 2 years (6-17 years)
EyeGlassContact_24,Received prescription for eyeglasses or contact lenses from an eye doctor ever (0-5 years)/during the past 2 years (6-17 years)
VisionDisorder_24,"Children who were diagnosed to have a vision disorder other than nearsighted, farsighted, or astigmatism by an eye doctor even (0-5 years)/during the past 2 years (6-17 years)"
VisnScrnOther_24,Indicator 4.6b: Children who received a vision screening from a provider other than an eye doctor ever (0-5 years)/during the past 2 years (6-17 years)
RecEyeExam_24,Recommended for an eye examination or additional vision service as a result of the vision screening
ERVisit_24,Indicator 4.7: Number of hospital emergency room visits for any health reason in the past 12 months
HospitalStay_24,Indicator 4.7a: Children who were admitted to the hospital to stay at least one night
DrAskConc_24,"Indicator 4.9: Doctor asked about parental concerns about the child's learning, development, or behavior, age 0-5 years"
DevScrnng_24,"Indicator 4.10: Children who received a developmental screening using a parent-completed screening tool, age 9-35 months"
SpecServ_24,"Indicator 4.11: Children currently receive special services  to meet child’s developmental needs such as speech, occupational or behavioral therapy"
SpSerAge_24,"Indicator 4.11a: Age start receiving special services to meet child’s developmental needs such as speech, occupational or behavioral therapy"
MedHome_24,"Indicator 4.12: Children receiving coordinated, ongoing, comprehensive care within a medical home"
PerDrNs_24,Indicator 4.12a: Medical Home Component: Children with a personal doctor or nurse
UsualSck_24,Indicator 4.12b: Medical Home Component: Usual source for sick care
FamCent_24,Indicator 4.12c: Medical Home Component: Children who received family-centered care
time_24,Doctors spent enough time with children
listen_24,Doctors listened carefully to children's parents
sensitiv_24,Doctors showed sensitivity to children's family's values and customs
info_24,Doctors provided information specific to parents' concerns
partner_24,Doctors helped parents to feel like partners in child's care
NoRefPrb_24,Indicator 4.12d: Medical Home Component: Difficulties getting referrals to see any doctors or receive any services
NoRefPrb2_24,"Indicator 4.12d: Medical Home Component: Difficulties getting needed referrals, among who needed"
CareCoor_24,"Indicator 4.12e: Medical Home Component: Effective care coordination, all children"
CareCoorR_24,"Indicator 4.12e: Medical Home Component: Effective care coordination, among who needed"
HelpCoord_24,"Family got help with coordinating child's health care in the past 12 months, among those who needed"
ExtraHelp_24,Family needed extra help to coordinate child's health care
AllExtraHelp_24,Children whose family got help with care coordination they wanted
DrCommR_24,Satisfaction with communication among child’s doctor and other health care providers
OtherComm_24,"Health care provider communicate with child’s school, child care provider, or special education program"
SatOthComm_24,"Satisfaction with communication among child’s doctors and school, child care provider, or special education program"
ShareDec_24,Indicator 4.14: Children whose families are partners in shared decision-making for their optimal health
DiscussOpt_24,Doctors discussed range of health care/treatment options
RaiseConc_24,Doctors made it easy for parents to raise concerns or disagree with recommendations
BestChoice_24,Doctors worked with parents to decide together health care/treatment options
Transition_24,"Indicator 4.15: Youth received necessary services for transition to adulthood, age 12-17 years"
TimeAlone_24,"Children who had time alone with health care provider at last medical care visit, age 12-17 years"
ActiveWork_24,"Provider worked with child to gain skills to manage health/health care or understand health care changes at age 18, age 12-17 years"
TrtAdult_24,"Provider discussed shift to adult health care providers if needed, age 12-17 years"
ChngeAge_24,Doctors worked with youth age 12-17 years to understand their health care changes that happen at age 18
PosChoice_24,"Doctor or health care provider actively worked with the child to make positive choices about his/her health, age 12-17 years"
GainSkill_24,"Doctor or health care provider actively worked with the child to gain skills to manage his/her health and health care, age 12-17 years"
MedHistory_24,"Youth received a summary of his/her medical history, age 12-17 years"
PlanCare_24,"Youth currently has a plan of care to meet his/her health goals and needs, age 12-17 years"
PlanAccess_24,"Youth has access to the plan of care, age 12-17 years"
PlanNeeds_24,"The plan of care addresses transition to adult health care provider, age 12-17 years"
InsNeeds_24,"Youth whose caregiver have had someone discuss how to obtain or keep health insurance coverage into adulthood, age 12-17 years"
SystCare2_24,Indicator 4.17: Children received care in a well-functioning system
sys0to11care2_24,"Children received care in a well-functioning system, age 0-11 years"
sys12to17care2_24,"Children received care in a well-functioning system, age 12-17 years"
ForgoneCare_24,Indicator 4.18: Children who were not able to receive needed health care in the past year
ForgoneMed_24,Children who were not able to receive needed medical care during the past 12 months
ForgoneDent_24,Children who were not able to receive needed dental care during the past 12 months
ForgoneVis_24,Children who were not able to receive needed vision care during the past 12 months
ForgoneHear_24,Children who were not able to receive needed hearing care during the past 12 months
ForgoneMH_24,"Children who were not able to receive needed mental health services during the past 12 months, age 3-17 years"
ineligible_24,Children who were not able to receive needed health care because child was not eligible
unavailable_24,Children who were not able to receive needed health care because the service this child needed was not available in their area
appointment_24,Children who were not able to receive needed health care because there were problems getting an appointment
transport_24,Children who were not able to receive needed health care because there were problems with getting transportation or child care
NotOpen_24,Children who were not able to receive needed health care because the office was not open when the child needed care
CostIssue_24,Children who were not able to receive needed health care due to cost
MedBills_24,Indicator 4.19: Family had problems paying for child's medical or health care bills during the past 12 months
frustrated_24,Indicator 4.20: Family often frustrated in efforts to get services for their children during the past 12 months
FASDeval_24,Indicator 4.21: Children who received evaluation for Fetal Alcohol Spectrum Disorder
SpEducPln_24,"Indicator 5.1: Children currently receive a special education or early intervention plan, age 1-17 years"
SpEdAge_24,"Indicator 5.1a: Age first received a special education or early intervention plan, age 1-17 years"
SchlEngage_24,"Indicator 5.2: School engagement, age 6-17 years"
cares_24,"Children who care about doing well in school, age 6-17 years"
homework_24,"Children who do all required homework, age 6-17 years"
grades6to11_24,"Indicator 5.2a: Child’s grades, age 6-11 years"
grades12to17_24,"Indicator 5.2b: Child’s grades, age 12-17 years"
ReptGrade_24,"Indicator 5.3: Repeated one or more grades in school, age 6-17 years"
SchlMiss_24,"Indicator 5.4: Missed school days, age 6-17 years"
AftSchAct_24,"Indicator 5.5: Children participate in organized activities outside school, age 6-17 years"
EventPart_24,"Indicator 5.6: Parents participated in child’s event or activities, age 6-17 years"
sports_24,"Children participated in sports teams or sports lessons after school or on weekends, age 6-17 years"
clubs_24,"Children participated in clubs or organizations after school or on weekends, age 6-17 years"
lessons_24,"Children participated in any other organized activities or lessons, such as music, dance, language or other arts, age 6-17 years"
volunteer_24,"Indicator 5.7: Children participated in community service or volunteer work, age 6-17 years"
workpay_24,"Indicator 5.8: Work for pay outside home including regular jobs as well as babysitting, cutting grass, or other occasional work, age 12-17 years, 12-17 years"
mentor_24,"Indicator 5.9: Children have at least one adult mentors, age 6-17 years"
SchoolReadiness_24,"Indicator 5.11: School readiness, age 3-5 years"
EL_domain_24,School Readiness: Early Learning Skills domain
RecogBegin_24,"Child can recognize beginning sound of a word, age 3-5 years"
SameSound_24,"Child can come up with words starting with the same sound, age 3-5 years"
WriteName_24,"Child can write first name even if some letters aren't quite right or are backwards, age 3-5 years"
ReadOneDigit_24,"Child can read one-digit numbers, age 3-5 years"
SimpleAddition_24,"Child can do simple addition, age 3-5 years"
GroupOfObjects_24,"Child can tell which group of objects has more, age 3-5 years"
CountToR_24,"Child can count correctly when asked to count objects, age 3-5 years"
RecogLetter_24,"Child can recognize letters of alphabet, age 3-5 years"
RhymeWordR_24,"Child can rhyme words, age 3-5 years"
SE_domain_24,School Readiness: Social Emotional Development domain
ClearExp_24,"Child can explain things child has seen or done, age 3-5 years"
FocusOn_24,"Child can focus on tasks or chores for at least a few minutes, age 3-5 years"
NameEmotions_24,"Child can recognize and name their own emotions, age 3-5 years"
PlayWell_24,"Child plays well with other children, age 3-17 years"
HurtSad_24,"Child shows concern when they see others are hurt or unhappy, age 3-5 years"
ShareToys_24,"Child shares toys or games with other children, age 3-5 years"
SR_domain_24,School Readiness: Self-Regulation domain
StartNewAct_24,"Child has difficulty when asked to end one activity and start a new activity, age 3-5 years"
temperR_24,"Child who lose their temper, 3-5 years"
distracted_24,"Child is easily distracted , age 3-5 years"
CalmDownR_24,"Child has trouble calming down, age 3-5 years"
WaitForTurn_24,"Child has difficulty waiting for their turn, age 3-5 years"
M_domain_24,School Readiness: Motor Development domain
BounceBall_24,"Child can bounce a ball for several seconds, age 3-5 years"
DrawCircle_24,"Child can draw a circle, age 3-5 years"
DrawFace_24,"Child can draw a face with eyes and mouth, age 3-5 years"
DrawPerson_24,"Child can draw a person with a head, body, arms, and legs, age 3-5 years"
H_domain_24,School Readiness: Health domain
ChHlthSt3to5_24,"Children's overall health status, age 3-5 years"
TeethCond3to5_24,"Overall condition of children's teeth, age 3-5 years"
DailyAct3to5_24,"Children whose health conditions consistently and often greatly affect their daily activities, age 3-5 years"
HardWork_24,"Child can keep working on a task even when it is hard for them, age 3-5 years"
OneWord_24,"Children who are able to say at least one word, such as 'hi' or 'dog', age 1-5 years"
TwoWords_24,"Children who are able to use 2 words together, such as 'car go', age 1-5 years"
ThreeWords_24,"Children who are able to use 3 words together in a sentence, such as, 'Mommy come now.', age 1-5 years"
AskQuest1_24,"Children who are able to ask questions like 'who,' 'what,' 'when,' 'where', age 1-5 years"
AskQuest2_24,"Children who are able to ask questions like 'why' and 'how', age 1-5 years"
TellStory_24,"Child is able to tell a story with a beginning, middle, and end, age 1-5 years"
understand_24,"Children who are able to understand the meaning of the word 'no', age 1-5 years"
directions_24,"Children who are able to follow a verbal direction without hand gestures, such as 'Wash your hands.', age 1-5 years"
point_24,"Children who are able to point to things in a book when asked, age 1-5 years"
TwoStepDirec_24,"Children who are able to follow 2-step directions, such as 'Get your shoes and put them in the basket.', age 1-5 years"
Understand2_24,"Children who are able to understand words such as 'in,' 'on,' and 'under', age 1-5 years"
MothPhyH_24,Indicator 6.1: Physical health status of child's mother
FathPhyH_24,Indicator 6.1a: Physical health status of child's father
ParentPhH_24,Indicator 6.1b: Physical health status of child's co-resident parents/caregivers
MotherMH_24,Indicator 6.2: Mental health status of child’s mother
FatherMH_24,Indicator 6.2a: Mental health status of child's father
ParentMH_24,Indicator 6.2b: Mental health status of child's co-resident parents/caregivers
MotherHSt_24,Indicator 6.3: Overall physical and mental health status of children's mothers
FatherHSt_24,Indicator 6.3a: Overall physical and mental health status of children's fathers
ParentHSt_24,Indicator 6.3b: Overall physical and mental health status of child's co-resident parents/caregivers
smoking_24,Indicator 6.4: Tobacco use in household
SmkInside_24,Indicator 6.4a: Someone smokes inside the home
vape_24,Indicator 6.4b: Someone uses e-cigarettes or vapes in home
EmploymentSt_24,Indicator 6.5: Caregivers(s) employment status
WrkngPoorR_24,Indicator 6.5a: Children living in 'working poor' family (full-time or part time employed parents with family income <100% of poverty)
ShareIdeas_24,"Indicator 6.6: How well children share ideas or talk about things that really matter with their parents, age 6-17 years"
readto_24,"Indicator 6.7: Number of days children were read aloud to during the past week, age 0-5 years"
SingStory_24,"Indicator 6.8: Number of days children were sung to or told stories to during past week, age 0-5 years"
MealTogether_24,"Indicator 6.9: Number of days family eats a meal together, children ages 0-17 years"
ScreenTime_24,"Indicator 6.10: Time spent in front of a TV, computer, cellphone or other electronic device watching programs, playing games, accessing the internet or using social media, not including schoolwork on most weekdays"
CtFamRes_24,Count of all of time and most of time responses
FamResilience_24,Indicator 6.12: Family resilience composite measure
FamResilience2_24,Indicator 6.12: Family resilience composite measure
TalkAbout_24,Family members talk together about what to do when the family faces problems
WrkToSolve_24,Family members work together to solve the problem when the family faces problems
strengths_24,Family members know we have strengths to draw on when the family faces problems
hopeful_24,Family members stay hopeful even in difficult times when the family faces problems
ACEct_24,"Number of adverse childhood experiences, of 10 asked about"
ACE2more_24,"Indicator 6.13: Children experienced two or more adverse childhood experiences, of 10 items asked about"
ACEincome_24,"Adverse childhood experience: hard to cover the basics, like food or housing, on family's income"
ACEincome2_24,How often has it been hard to get by on your family's income - hard to cover basics like food or housing since the child was born?
ACEdivorce_24,Adverse childhood experience: child's parent or guardian divorced or separated
ACEdeath_24,Adverse childhood experience: child's parent or guardian died
ACEjail_24,Adverse childhood experience: child's parent or guardian served time in jail
ACEdomviol_24,Adverse childhood experience: child witnessed domestic violence
ACEneighviol_24,Adverse childhood experience: child was victim or witness of neighborhood violence
ACEmhealth_24,"Adverse childhood experience: child lived with anyone who was mentally ill, suicidal, or severely depressed"
ACEdrug_24,Adverse childhood experience: child lived with anyone who had a problem with alcohol or drugs
ACEdiscrim_24,Adverse childhood experience: child was treated or judged unfairly because of their race or ethnic group
ACEHealthDiscrim_24,Adverse childhood experience: child was treated or judged unfairly because of their health condition or disability status
ACE6ctHH_24,Number of household-based adverse childhood experiences based on 6 household items
ACE2more6HH_24,Children experienced one or more household-based adverse childhood experiences
ACEctComm_24,Number of community-based adverse childhood experiences
ACE1moreComm_24,Children experienced one or more community-based adverse childhood experiences
ParAggrav_24,Indicator 6.14: Children whose parents who felt stress from parenting during the past month
DiffCare_24,Parent felt child is much harder to care for than most children during the past month
bother_24,Parent felt that their child does things that bother them during the past month
angry_24,Parent felt angry with child  during the past month
EmSupport_24,Indicator 6.15: Children living with parents who have someone that they could turn to for day-to-day emotional support with parenting or raising children
ParCoping_24,Indicator 6.16: Coping with day-to-day demands of raising children
JobChange_24,"Indicator 6.17: Children whose family members had to quit a job, not take a job, or greatly change their job because of problems with child care, age 0-5 years"
StopCutWork_24,"Indicator 6.18: Children whose family members left a job, took a leave of absence or cut back hours due to child's health"
AvoidChng_24,Indicator 6.19: Children whose family member(s) avoided changing jobs because of concerns about maintaining health insurance
HomeCare_24,Indicator 6.20a: Number of hours spent providing health care at home for child in an average week
TimeCoord_24,Indicator 6.20b: Number of hours spent coordinating health care for child in an average week
BedTime_24,Indicator 6.24: Go to bed at the same time on weeknights
HrsSleep_24,"Indicator 6.25: Child slept recommended age-appropriate hours during an average day/on most weeknights, age 4 months - 17"
FoodSit_24,Indicator 6.26: Food situation in child's household in the past 12 months
FoodCash_24,Indicator 6.27: Someone in the family received food or cash assistance at any time during the past 12 months
CashAss_24,Someone in the family received cash assistance from government at any time during the past 12 months
FoodStamp_24,Someone in the family received Food Stamps or Supplemental Nutrition Assistance Program benefits at any time during the past 12 months
MealFree_24,Someone in the family received free or reduced-cost breakfasts or lunches at school at any time during the past 12 months
EBTCards_24,"Someone in the family received school meal debit/Electronic Benefits Transfer (EBT) cards, even for one month, at any time during the past 12 months"
WIC_24,Someone in the family received benefits from the WIC Program at any time during the past 12 months
SSI_24,Indicator 6.28: Children who receive Supplemental Security Income
SSIDisability_24,Indicator 6.28a: Children who receive Supplemental Security Income for a disability they have - 3 categories
HousingInstab_24,Indicator 6.29: Children who experienced housing instability in the past year
MissRentMortgage_24,Children whose family was not able to pay the mortgage or rent on time
MovedNewAddress_24,Number of times the child has moved to a new address since they were born
EverHomeless_24,Children who ever experienced homelessness or lived in a shelter since they were born
HomeEvic_24,"Indicator 6.30: Children live in the family that worried or stressed about being evicted, foreclosed on, having their house condemned in the past 12 months"
NbhdSupp_24,Indicator 7.1: Children who live in supportive neighborhood
NbhdSafe_24,Indicator 7.2: Children live in safe neighborhoods
SchlSafe_24,"Indicator 7.3: Safe schools, age 6-17 years"
NbhdAmenities_24,Indicator 7.4: Count of amenities in children's neighborhoods
SideWlks_24,Children who live in neighborhoods with sidewalks or walking paths
park_24,Children who live in neighborhoods with a park or playground
RecCentr_24,"Children who live in neighborhoods with recreation center, community center or boys’ and girls’ club"
library_24,Children who live in neighborhoods with a library or bookmobile
NbhdDetract_24,Indicator 7.5: Presence of detracting neighborhood elements in the neighborhood
litter_24,Children who live in neighborhoods with litter or garbage on the street or sidewalk
housing_24,Children who live in neighborhoods with poorly kept or rundown housing
vandal_24,Children who live in neighborhoods with vandalism such as broken windows or graffiti
MedRiskct_24,"Count of medical health risks - 4 components, age 0-17 years"
MedRisk2more_24,Children who met 2 or more medical health risks from 4 risk components
MedRisk1more_24,Children who met 1 or more medical health risks from 4 risk components
SocRiskct_24,"Count of social health risks - 4 components, - at least 2 valid responses from 4 items"
SocRisk2more_24,"Children who experience 2 or more social health risks from 4 risk components, among children who have at least 2 valid responses from 4 items"
SocRisk1more_24,"Children who experience 1 or more social health risks from 4 risk components, among children who have at least 2 valid responses from 4 items"
RelHlthRiskct_24,Number of relational health risks- among children who have at least 2 valid responses from 4 items
RelHlthRisk2more_24,"Children who experience 2 or more relational health risks from 4 risk components, among children who have at least 2 valid responses from 4 items"
RelHlthRisk1more_24,"Children who experience 1 or more relational health risks from 4 risk components, among children who have at least 2 valid responses from 4 items"
WCRIdomains_24,"Whole Child Risk Index: number of risk domains - 3 domains: medical, social health and relational health risks"
RiskCombo_24,"Combination of Whole Child Risk Index domains - medical, social and relational health risks"
npmExBrstfed6mto2y_24,"NPM: Percent of children, ages 6 months through 2 years, who were breastfed exclusively for 6 months"
npmDevScrnng_24,"NPM: Percent of children, ages 9 through 35 months, who received a developmental screening using a parent-completed screening tool in the past year"
npmHousingInstab_24,"NPM: Percent of children, ages 0 through 11, who experienced housing instability in the past year"
npmPrevDent1to17_24,"NPM: Percent of children, ages 1 through 17, who had a preventive dental visit in the past year"
npmPhysAct6to11_24,"NPM: Percent of children, ages 6 through 11, who are physically active at least 60 minutes per day"
npmFoodSit0to11_24,"NPM: Percent of children, ages 0 through 11, whose households were food sufficient in the past year"
npmPrevMed12to17_24,"NPM: Percent of adolescents, ages 12 through 17 years, with a preventive medical visit in the past year"
npmMentHTx12to17_24,"NPM: Percent of adolescents, ages 12 through 17 years. who receive needed mental health treatment or counseling"
npmMentor12to17_24,"NPM: Percent of adolescents, ages 12 through 17 years, who have one or more adults outside the home who they can rely on for advice or guidance"
npmMedHome_24,"NPM: Percent of children, ages 0 through 17, who have a medical home"
npmMedHomeCSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who have a medical home"
npmPerDrNs_24,"NPM: Percent of children, ages 0 through 17, who have a personal doctor or nurse"
npmPerDrNsCSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who have a personal doctor or nurse"
npmUsualSck_24,"NPM: Percent of children, ages 0 through 17, who have a usual source of sick care"
npmUsualSckCSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who have a usual source of sick care"
npmFamCent_24,"NPM: Percent of children, ages 0 through 17, who have family centered care"
npmFamCentCSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who have family centered care"
npmNoRefPrb2_24,"NPM: Percent of children, ages 0 through 17, who did not have difficulties getting needed referrals"
npmNoRefPrb2CSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who did not have difficulties getting needed referrals"
npmCareCoorR_24,"NPM: Percent of children, ages 0 through 17, who receive needed care coordination"
npmCareCoorRCSHCN_24,"NPM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who receive needed care coordination"
npmTransition_24,"NPM: Percent of adolescents, ages 12 through 17, who received services to prepare for the transition to adult health care"
npmTransitionCSHCN_24,"NPM: Percent of adolescents with special health care needs (expanded criteria), ages 12 through 17, who received services to prepare for the transition to adult health care"
npmBully12to17_24,"NPM: Percent of adolescents, ages 12 through 17, who bully others"
npmBully12to17CSHCN_24,"NPM: Percent of adolescents with special health care needs (expanded criteria), ages 12 through 17, who bully others"
npmBullied12to17_24,"NPM: Percent of adolescents, ages 12 through 17, who are bullied"
npmBullied12to17CSHCN_24,"NPM: Percent of adolescents with special health care needs (expanded criteria), ages 12 through 17, who are bullied"
nomSchoolReadiness2_24,"NOM: Percent of children, ages 3 through 5, meeting the criteria for school readiness"
nomCavities_24,"NOM: Percent of children, ages 1 through 17, who have decayed teeth or cavities in the past year"
nomChHlthSt_24,"NOM: Percent of children, ages 0 through 17, in excellent or very good health"
nomObesity6to17_24,"NOM: Percent of adolescents, ages 6 through 17, who are obese (BMI at or above the 95th percentile)"
nomBehavior6to11_24,"NOM: Percent of children, ages 6 through 11, who have a behavioral or conduct disorder"
nomAnxietyDep12to17_24,"NOM: Percent of adolescents, ages 12 through 17, who have depression or anxiety"
nomSystCareCSHCN_24,"NOM: Percent of children with special health care needs (expanded criteria), ages 0 through 17, who receive care in a well-functioning system"
nomFlrish6mto5_24,"NOM: Percent of children, ages 6 months through 5 years, who are flourishing"
nomFlrish6to17_24,"NOM: Percent of children, ages 6 through 17, who are flourishing"
nomFlrish6to17CSHCN_24,"NOM: Percent of children with special health care needs (expanded criteria), ages 6 through 17, who are flourishing"
nomACE2more_24,"NOM: Percent of children, ages 0 through 17, who have experienced 2 or more Adverse Childhood Experiences"
smSmoking_24,"Standardized Measure: Percent of children, ages 0 through 17, who live in households where someone smokes"
smPhysAct12to17_24,"Standardized Measure: Percent of adolescents, ages 12 through 17 who are physically active at least 60 minutes per day"
smAdeqIns_24,"Standardized Measure: Percent of children, ages 0 through 17, who are continuously and adequately insured"
smForgoneHC_24,"Standardized Measure: Percent of children, ages 0 through 17, who were unable to obtain needed health care in the past year"
