Name,Label
BIRTHWT_VL,Birth Weight is Very Low (<1500g)
BIRTHWT_L,Birth Weight is Low (<2500g)
BIRTHWT,Birth Weight Status
FPL_IF,Imputation Flag for FPL
A1_GRADE_IF,Imputation Flag for A1_GRADE
BIRTH_YR_F,BIRTH_YR Data Quality Flag
SC_ASIAN,Asian Alone or in Combination with Other Race
SC_AIAN,American Indian or Alaska Native Alone or in Combination with Other Race
SC_NHPI,Native Hawaiian or Other Pacific Islanders Alone or in Combination with Other Race
WEIGHT,Child's Weight (KG)
BMICLASS,"Body Mass Index, Percentile"
HHCOUNT_IF,Imputation Flag for HHCOUNT
HIGRADE,Highest Level of Education among Reported Adults
HIGRADE_TVIS,"Highest Level of Education among Reported Adults, Detail"
FPL_I1,"Family Poverty Ratio, First Implicate"
FPL_I2,"Family Poverty Ratio, Second Implicate"
FPL_I3,"Family Poverty Ratio, Third Implicate"
FPL_I4,"Family Poverty Ratio, Fourth Implicate"
FPL_I5,"Family Poverty Ratio, Fifth Implicate"
FPL_I6,"Family Poverty Ratio, Sixth Implicate"
FWC,Selected Child Weight
hrsareg,HRSA Region
age3_24,Age in 3 groups
age5_24,U.S. children in 5 age groups
sex_24,Sex of child
race4_24,Race and ethnicity distribution of the child population
raceAsia_24,Race and ethnicity distribution of the child population
race7_24,Race and ethnicity distribution of children in the US population
PrntNativity_24,Generational status of the parents
HHLanguage_24,Primary language spoken in the household
hisplang_24,Primary household language for Hispanic children
famstruct5_24,Family structure of child's household
povlev4_24,"Income level based on family poverty level status, imputed"
povSCHIP_24,"Income level based on family poverty level status (SCHIP), imputed"
AdultEduc_24,Highest level of education of any adult in the household
BornUSA_24,Children who were born in the United States
FamCount_24,Number of family members in the child's household
MilitarySt_24,Military status of adult(s) in the household
ChHlthSt_24,Indicator 1.1: Children's overall health status
TeethCond_24,"Indicator 1.2: Overall condition of children's teeth, age 1-17 years"
OralProb_24,"Indicator 1.2a: Oral health problems: toothache, bleeding gums, and/or decayed teeth or cavities, age 1-17 years"
toothache_24,"Children who had toothache during the past 12 months, age 1-17 years"
gumbleed_24,"Children who had bleeding gums during the past 12 months, age 1-17 years"
cavities_24,"Children who had decayed teeth or cavities during the past 12 months, age 1-17 years"
BrstEver_24,"Indicator 1.3: Children who were ever breastfed or fed breast milk, age 0-5 years"
ExBrstFd_24,"Indicator 1.3a: Exclusively breastfed or given breast milk for first 6 months, age 6 months-5 years"
ExBrstfed6mto2y_24,"Indicator 1.3b: Exclusively breastfed or given breast milk for first 6 month, age 6 months - 2 years"
fruit_23,"Fruit consumption, age 1-5 years"
SugarDrink_24,"Sugary drink consumption, age 1-17 years"
vegetables_24,"Vegetable consumption, age 1-5 years"
BMI4_6to17_24,"Indicator 1.4: Weight status of children based on Body Mass Index (BMI) in four categories, 6-17 years"
BMI3_6to17_24,"Indicator 1.4a: Weight status of children based on Body Mass Index (BMI) in three categories, 6-17 years"
ToldOverweight_24,Indicator 1.4b: Children who ever told by a doctor or health professional that they have overweight
MealSkip_24,"Children who engaged in skipping meals or fasting in the past 12 months, age 6-17 years"
LowInterest_24,"Children who had a low interest in food in the past 12 months, age 6-17 years"
PickyEat_24,"Children who engaged in extremely picky eating in the past 12 months, age 6-17 years"
binge_24,"Children who engaged in binge eating in the past 12 months, age 6-17 years"
purge_24,"Children who engaged in purging or vomiting after eating in the past 12 months, age 6-17 years"
DietPills_24,"Children who used diet pills, laxatives, or diuretics (water pills) to lose or maintain weight without a doctor’s orders, age 6-17 years"
OverExercise_24,"Children who engage in over-exercising in the past 12 months, age 6-17 years"
FearToEat_24,"Children who did not engage in eating due to fear of vomiting or choking in the past 12 months, age 6-17 years"
PrntCncrn_24,"Caregiver concerns about child’s eating- or body image-related behaviors in the past 12 months, age 6-17 years"
BodyImage_24,"Indicator 1.4c: Children concerned about body weight, shape, size in the past 12 months, age 6-17 years"
PhysAct_24,"Indicator 1.5 Children who are physically active at least 60 minutes per day, age 6-17 years"
OutdrsWkend_24,"Time spent outdoors on an average weekend day, age 3-5 years"
OutdrsWkDay_24,"Time spent outdoors on most weekdays, age 3-5 years"
WgtConcn_24,Indicator 1.6: Parental concern about their children's weight
LowBWght_24,"Indicator 1.7: Children who were born with a low birth weight, that is they weighed less than 2500 grams at birth"
VeryLBWght_24,"Indicator 1.7a: Children who were born with a very low birth weight, that is they weighed less than 1500 grams at birth"
BornPre_24,"Indicator 1.8: Children who were born premature, that is more than 3 weeks before their due date"
CondCnt_24,Number of current health conditions reported from a list of 24
Cond2more_24,Indicator 1.9: Number of current or lifelong health conditions reported from a list of 24 health conditions
allergies_24,"Children who currently have allergies including food, drug, insect, seasonal, or other"
asthma_24,Children currently have asthma
autoimmune_24,"Children who have autoimmune disease (such as Type 1 Diabetes, Celiac, or Juvenile Idiopathic Arthritis)"
BloodScr_24,"Children who have blood disorders (such as sickle cell disease, thalassemia, or hemophilia) identified through a blood test"
blood_24,"Children who have ever told that they have blood disorders (such as sickle cell disease, thalassemia, or hemophilia)"
palsy_24,Children who currently have cerebral palsy
CystFibScr_24,Children who have cystic fibrosis identified through a blood test
CystFib_24,Children who have cystic fibrosis
Type2diabetes_24,Children who currently have Type 2 diabetes
DownSynd_24,Children who have Down Syndrome
FASD_24,Children who ever told by a doctor or other health care provider that the child has Fetal Alcohol Spectrum Disorder (FASD)
seizure_24,Children who currently have epilepsy or seizure disorder
heart_24,Children who currently have a heart condition
headache_24,"Children who currently have frequent or severe headache including migraine, age 3-17 years"
tourette_24,"Children who currently have Tourette Syndrome, age 3-17 years"
anxiety_24,"Children who currently have anxiety problems, age 3-17 years"
depress_24,"Children who currently have depression, age 3-17 years"
behavior_24,"Children who currently have behavioral or conduct problems, age 3-17 years"
DevDelay_24,"Children who currently have developmental delay, age 3-17 years"
IntDisab_24,"Children who currently have intellectual disability or mental retardation, age 3-17 years"
speech_24,"Children who currently have speech or other language disorder, age 3-17 years"
learning_24,"Children who currently have a learning disability, age 3-17 years"
autism_24,"Children who currently have autism or autism spectrum disorder including Asperger's Disorder, pervasive developmental disorder, age 3-17 years"
ADHD_24,"Children who currently have Attention Deficit Disorder (ADD) or Attention-Deficit Hyperactivity Disorder (ADHD), age 3-17 years"
hearing_24,Children who have deafness or problems with hearing
vision_24,"“Children who have blindness or problems with seeing, even when wearing glasses”"
BrainInjTold_24,Children who were told by a doctor or other health care provider that the child has a concussion or brain injury
HeartBorn_24, Children who were born with a congenital heart condition
AllerSev_24,"Parent-rated severity of child's current allergies including food, drug, insect, or other"
AsthmSev_24,Parent-rated severity of child's current asthma
AutoimmuneSev_24,"Parent-rated severity of autoimmune disease (such as Type 1 Diabetes, Celiac, or Juvenile Idiopathic Arthritis)"
BloodSev_24,"Parent-rated severity of child's blood disorders (such as sickle cell disease, thalassemia, or hemophilia)"
PalsySev_24,Parent-rated severity of child's current cerebral palsy
CystSev_24,Parent-rated severity of current cystic fibrosis
Type2DiabetSev_24,Parent-rated severity of child's current diabetes
SeizSev_24,Parent-rated severity of child's current epilepsy or seizure disorder
HeartSev_24,Parent-rated severity of child's current heart condition
HeadSev_24,"Parent-rated severity of current frequent or severe headaches including migraine, age 3-17 years"
TouretSev_24,"Parent-rated severity of child's current Tourette Syndrome, age 3-17 years"
AnxietSev_24,"Parent-rated severity of child's current anxiety, age 3-17 years"
DepresSev_24,"Parent-rated severity of child's current depression, age 3-17 years"
BehavSev_24,"Parent-rated severity of child's current behavioral or conduct problems, age 3-17 years"
DevDelSev_24,"Parent-rated severity of child's developmental delay, age 3-17 years"
IntDisSev_24,"Parent-rated severity of child's current intellectual disability, age 3-17 years"
SpeechSev_24,"Parent-rated severity of child's current speech or other language disorder, age 3-17 years"
LearnSev_24,"Parent-rated severity of child's current learning disability, age 3-17 years"
AutismSev_24,"Parent-rated severity of child's current Autism/ASD, age 3-17 years"
ADHDSev_24,"Parent-rated severity of child's current ADD/ADHD, age 3-17 years"
cntdiff,Number of functional difficulties reported from list of 12 different difficulties asked in the survey
